Date : 2024-01-11 12:08:50
Directory : e:\Dev\go_great
Total : 72 files,  3238 codes, 322 comments, 440 blanks, all 4000 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| windows\runner                                                                     |          8 |        428 |         85 |        132 |        645 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                           | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| e:\Dev\go_great\README.md                                                          | Markdown        |         10 |          0 |          7 |         17 |
| e:\Dev\go_great\analysis_options.yaml                                              | YAML            |          3 |         22 |          4 |         29 |
| e:\Dev\go_great\android\app\build.gradle                                           | Gradle          |         57 |         10 |         15 |         82 |
| e:\Dev\go_great\android\app\google-services.json                                   | JSON            |         29 |          0 |          0 |         29 |
| e:\Dev\go_great\android\app\src\debug\AndroidManifest.xml                          | XML             |          3 |          4 |          1 |          8 |
| e:\Dev\go_great\android\app\src\main\AndroidManifest.xml                           | XML             |         27 |          6 |          1 |         34 |
| e:\Dev\go_great\android\app\src\main\kotlin\com\example\go_great\MainActivity.kt   | Kotlin          |          4 |          0 |          3 |          7 |
| e:\Dev\go_great\android\app\src\main\res\drawable-v21\launch_background.xml        | XML             |          9 |          0 |          1 |         10 |
| e:\Dev\go_great\android\app\src\main\res\drawable\launch_background.xml            | XML             |          9 |          0 |          1 |         10 |
| e:\Dev\go_great\android\app\src\main\res\values-night-v31\styles.xml               | XML             |         12 |          7 |          1 |         20 |
| e:\Dev\go_great\android\app\src\main\res\values-night\styles.xml                   | XML             |         13 |          9 |          1 |         23 |
| e:\Dev\go_great\android\app\src\main\res\values-v31\styles.xml                     | XML             |         12 |          7 |          1 |         20 |
| e:\Dev\go_great\android\app\src\main\res\values\styles.xml                         | XML             |         13 |          9 |          1 |         23 |
| e:\Dev\go_great\android\app\src\profile\AndroidManifest.xml                        | XML             |          3 |          4 |          1 |          8 |
| e:\Dev\go_great\android\build.gradle                                               | Gradle          |         27 |          0 |          5 |         32 |
| e:\Dev\go_great\android\gradle.properties                                          | Java Properties |          3 |          0 |          1 |          4 |
| e:\Dev\go_great\android\gradle\wrapper\gradle-wrapper.properties                   | Java Properties |          5 |          0 |          1 |          6 |
| e:\Dev\go_great\android\settings.gradle                                            | Gradle          |         24 |          0 |          6 |         30 |
| e:\Dev\go_great\assets\chevrondown.svg                                             | XML             |          8 |          1 |          1 |         10 |
| e:\Dev\go_great\assets\logo.svg                                                    | XML             |          1 |          0 |          0 |          1 |
| e:\Dev\go_great\assets\nextbutton.svg                                              | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\assets\onboard1bagus.svg                                           | XML             |          1 |          0 |          0 |          1 |
| e:\Dev\go_great\flutter_native_splash.yaml                                         | YAML            |          3 |          0 |          0 |          3 |
| e:\Dev\go_great\ios\RunnerTests\RunnerTests.swift                                  | Swift           |          7 |          2 |          4 |         13 |
| e:\Dev\go_great\ios\Runner\AppDelegate.swift                                       | Swift           |         12 |          0 |          2 |         14 |
| e:\Dev\go_great\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json        | JSON            |        122 |          0 |          1 |        123 |
| e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json | JSON            |         21 |          0 |          1 |         22 |
| e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json      | JSON            |         23 |          0 |          1 |         24 |
| e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md          | Markdown        |          3 |          0 |          2 |          5 |
| e:\Dev\go_great\ios\Runner\Base.lproj\LaunchScreen.storyboard                      | XML             |         43 |          1 |          1 |         45 |
| e:\Dev\go_great\ios\Runner\Base.lproj\Main.storyboard                              | XML             |         25 |          1 |          1 |         27 |
| e:\Dev\go_great\ios\Runner\Runner-Bridging-Header.h                                | C++             |          1 |          0 |          1 |          2 |
| e:\Dev\go_great\ios\firebase_app_id_file.json                                      | JSON            |          7 |          0 |          0 |          7 |
| e:\Dev\go_great\lib\constant.dart                                                  | Dart            |         11 |          0 |          3 |         14 |
| e:\Dev\go_great\lib\firebase_options.dart                                          | Dart            |         64 |         12 |          6 |         82 |
| e:\Dev\go_great\lib\login.dart                                                     | Dart            |        126 |          1 |          8 |        135 |
| e:\Dev\go_great\lib\main.dart                                                      | Dart            |        198 |          5 |         21 |        224 |
| e:\Dev\go_great\lib\onboarding_screen.dart                                         | Dart            |        154 |          0 |         14 |        168 |
| e:\Dev\go_great\lib\sign_up.dart                                                   | Dart            |        215 |          1 |         10 |        226 |
| e:\Dev\go_great\lib\user_preferences0.dart                                         | Dart            |        182 |          2 |         14 |        198 |
| e:\Dev\go_great\lib\user_preferences1.dart                                         | Dart            |        206 |          2 |         21 |        229 |
| e:\Dev\go_great\lib\user_preferences2.dart                                         | Dart            |        190 |          2 |         17 |        209 |
| e:\Dev\go_great\lib\user_preferences3.dart                                         | Dart            |        122 |          2 |          9 |        133 |
| e:\Dev\go_great\linux\flutter\generated_plugin_registrant.cc                       | C++             |          3 |          4 |          5 |         12 |
| e:\Dev\go_great\linux\flutter\generated_plugin_registrant.h                        | C++             |          5 |          5 |          6 |         16 |
| e:\Dev\go_great\linux\flutter\generated_plugins.cmake                              | CMake           |         18 |          0 |          6 |         24 |
| e:\Dev\go_great\linux\main.cc                                                      | C++             |          5 |          0 |          2 |          7 |
| e:\Dev\go_great\linux\my_application.cc                                            | C++             |         74 |         11 |         20 |        105 |
| e:\Dev\go_great\linux\my_application.h                                             | C++             |          7 |          7 |          5 |         19 |
| e:\Dev\go_great\macos\Flutter\GeneratedPluginRegistrant.swift                      | Swift           |         14 |          3 |          4 |         21 |
| e:\Dev\go_great\macos\RunnerTests\RunnerTests.swift                                | Swift           |          7 |          2 |          4 |         13 |
| e:\Dev\go_great\macos\Runner\AppDelegate.swift                                     | Swift           |          8 |          0 |          2 |         10 |
| e:\Dev\go_great\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON            |         68 |          0 |          1 |         69 |
| e:\Dev\go_great\macos\Runner\Base.lproj\MainMenu.xib                               | XML             |        343 |          0 |          1 |        344 |
| e:\Dev\go_great\macos\Runner\MainFlutterWindow.swift                               | Swift           |         12 |          0 |          4 |         16 |
| e:\Dev\go_great\macos\firebase_app_id_file.json                                    | JSON            |          7 |          0 |          0 |          7 |
| e:\Dev\go_great\pubspec.yaml                                                       | YAML            |         39 |         60 |         17 |        116 |
| e:\Dev\go_great\test\sign_up_test.dart                                             | Dart            |          0 |          0 |          1 |          1 |
| e:\Dev\go_great\test\widget_test.dart                                              | Dart            |         15 |         10 |          7 |         32 |
| e:\Dev\go_great\web\index.html                                                     | HTML            |         98 |         16 |         15 |        129 |
| e:\Dev\go_great\web\manifest.json                                                  | JSON            |         35 |          0 |          1 |         36 |
| e:\Dev\go_great\windows\flutter\generated_plugin_registrant.cc                     | C++             |         12 |          4 |          5 |         21 |
| e:\Dev\go_great\windows\flutter\generated_plugin_registrant.h                      | C++             |          5 |          5 |          6 |         16 |
| e:\Dev\go_great\windows\flutter\generated_plugins.cmake                            | CMake           |         21 |          0 |          6 |         27 |
| e:\Dev\go_great\windows\runner\flutter_window.cpp                                  | C++             |         49 |          7 |         16 |         72 |
| e:\Dev\go_great\windows\runner\flutter_window.h                                    | C++             |         20 |          5 |          9 |         34 |
| e:\Dev\go_great\windows\runner\main.cpp                                            | C++             |         30 |          4 |         10 |         44 |
| e:\Dev\go_great\windows\runner\resource.h                                          | C++             |          9 |          6 |          2 |         17 |
| e:\Dev\go_great\windows\runner\utils.cpp                                           | C++             |         54 |          2 |         10 |         66 |
| e:\Dev\go_great\windows\runner\utils.h                                             | C++             |          8 |          6 |          6 |         20 |
| e:\Dev\go_great\windows\runner\win32_window.cpp                                    | C++             |        210 |         24 |         55 |        289 |
| e:\Dev\go_great\windows\runner\win32_window.h                                      | C++             |         48 |         31 |         24 |        103 |
| Total                                                                              |                 |      3,238 |        322 |        440 |      4,000 |
+------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
