Date : 2024-01-18 11:33:59
Directory : e:\Dev\go_great
Total : 101 files,  6910 codes, 371 comments, 643 blanks, all 7924 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| e:\Dev\go_great\assets\bookmark_filled.svg                                         | XML             |          5 |          0 |          1 |          6 |
| e:\Dev\go_great\assets\briefcase.svg                                               | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\assets\business.svg                                                | XML             |         27 |          0 |          1 |         28 |
| e:\Dev\go_great\assets\chatbubble.svg                                              | XML             |          5 |          0 |          1 |          6 |
| e:\Dev\go_great\assets\chevrondown.svg                                             | XML             |          8 |          1 |          1 |         10 |
| e:\Dev\go_great\assets\home.svg                                                    | XML             |          7 |          0 |          1 |          8 |
| e:\Dev\go_great\assets\location.svg                                                | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\assets\logo.svg                                                    | XML             |          1 |          0 |          0 |          1 |
| e:\Dev\go_great\assets\nextbutton.svg                                              | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\assets\onboard1bagus.svg                                           | XML             |          1 |          0 |          0 |          1 |
| e:\Dev\go_great\assets\people.svg                                                  | XML             |          8 |          0 |          1 |          9 |
| e:\Dev\go_great\assets\people_company.svg                                          | XML             |          8 |          0 |          1 |          9 |
| e:\Dev\go_great\assets\plus.svg                                                    | XML             |          3 |          0 |          1 |          4 |
| e:\Dev\go_great\assets\warning.svg                                                 | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\flutter_native_splash.yaml                                         | YAML            |          3 |          0 |          0 |          3 |
| e:\Dev\go_great\ios\RunnerTests\RunnerTests.swift                                  | Swift           |          7 |          2 |          4 |         13 |
| e:\Dev\go_great\ios\Runner\AppDelegate.swift                                       | Swift           |         12 |          0 |          2 |         14 |
| e:\Dev\go_great\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json        | JSON            |        122 |          0 |          1 |        123 |
| e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json | JSON            |         21 |          0 |          1 |         22 |
| e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json      | JSON            |         23 |          0 |          1 |         24 |
| e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md          | Markdown        |          3 |          0 |          2 |          5 |
| e:\Dev\go_great\ios\Runner\Base.lproj\LaunchScreen.storyboard                      | XML             |         43 |          1 |          1 |         45 |
| e:\Dev\go_great\ios\Runner\Base.lproj\Main.storyboard                              | XML             |         25 |          1 |          1 |         27 |
| e:\Dev\go_great\ios\Runner\Runner-Bridging-Header.h                                | C++             |          1 |          0 |          1 |          2 |
| e:\Dev\go_great\ios\firebase_app_id_file.json                                      | JSON            |          7 |          0 |          0 |          7 |
| e:\Dev\go_great\lib\add_project.dart                                               | Dart            |        311 |          1 |         15 |        327 |
| e:\Dev\go_great\lib\chat.dart                                                      | Dart            |         28 |          0 |          4 |         32 |
| e:\Dev\go_great\lib\constant.dart                                                  | Dart            |         50 |          0 |          8 |         58 |
| e:\Dev\go_great\lib\course_details.dart                                            | Dart            |        173 |          0 |         16 |        189 |
| e:\Dev\go_great\lib\final_add_project.dart                                         | Dart            |        109 |          0 |          3 |        112 |
| e:\Dev\go_great\lib\final_apply.dart                                               | Dart            |        189 |          0 |          4 |        193 |
| e:\Dev\go_great\lib\firebase_options.dart                                          | Dart            |         64 |         12 |          6 |         82 |
| e:\Dev\go_great\lib\lesson_list.dart                                               | Dart            |        165 |          0 |          8 |        173 |
| e:\Dev\go_great\lib\login.dart                                                     | Dart            |        155 |          1 |          8 |        164 |
| e:\Dev\go_great\lib\main.dart                                                      | Dart            |        769 |         29 |         48 |        846 |
| e:\Dev\go_great\lib\my_flutter_app_icons.dart                                      | Dart            |          9 |         15 |          4 |         28 |
| e:\Dev\go_great\lib\my_projects.dart                                               | Dart            |        160 |          1 |         17 |        178 |
| e:\Dev\go_great\lib\onboarding_screen.dart                                         | Dart            |        154 |          0 |         14 |        168 |
| e:\Dev\go_great\lib\profile.dart                                                   | Dart            |        154 |          0 |         11 |        165 |
| e:\Dev\go_great\lib\profile_form.dart                                              | Dart            |         72 |          0 |          5 |         77 |
| e:\Dev\go_great\lib\project_detail.dart                                            | Dart            |        312 |          6 |          8 |        326 |
| e:\Dev\go_great\lib\project_list.dart                                              | Dart            |        110 |          1 |          7 |        118 |
| e:\Dev\go_great\lib\saved_list.dart                                                | Dart            |        127 |          9 |         18 |        154 |
| e:\Dev\go_great\lib\sign_up.dart                                                   | Dart            |        261 |          7 |         17 |        285 |
| e:\Dev\go_great\lib\soon.dart                                                      | Dart            |         29 |          0 |          2 |         31 |
| e:\Dev\go_great\lib\submission.dart                                                | Dart            |        625 |          5 |         21 |        651 |
| e:\Dev\go_great\lib\submit_temp.dart                                               | Dart            |         58 |          4 |          8 |         70 |
| e:\Dev\go_great\lib\talent_list.dart                                               | Dart            |        160 |          0 |          9 |        169 |
| e:\Dev\go_great\lib\user_preferences0.dart                                         | Dart            |        206 |          2 |         15 |        223 |
| e:\Dev\go_great\lib\user_preferences1.dart                                         | Dart            |        206 |          2 |         21 |        229 |
| e:\Dev\go_great\lib\user_preferences2.dart                                         | Dart            |        209 |          4 |         15 |        228 |
| e:\Dev\go_great\lib\user_preferences3.dart                                         | Dart            |        122 |          4 |         10 |        136 |
| e:\Dev\go_great\linux\flutter\generated_plugin_registrant.cc                       | C++             |          7 |          4 |          5 |         16 |
| e:\Dev\go_great\linux\flutter\generated_plugin_registrant.h                        | C++             |          5 |          5 |          6 |         16 |
| e:\Dev\go_great\linux\flutter\generated_plugins.cmake                              | CMake           |         19 |          0 |          6 |         25 |
| e:\Dev\go_great\linux\main.cc                                                      | C++             |          5 |          0 |          2 |          7 |
| e:\Dev\go_great\linux\my_application.cc                                            | C++             |         74 |         11 |         20 |        105 |
| e:\Dev\go_great\linux\my_application.h                                             | C++             |          7 |          7 |          5 |         19 |
| e:\Dev\go_great\macos\Flutter\GeneratedPluginRegistrant.swift                      | Swift           |         26 |          3 |          4 |         33 |
| e:\Dev\go_great\macos\RunnerTests\RunnerTests.swift                                | Swift           |          7 |          2 |          4 |         13 |
| e:\Dev\go_great\macos\Runner\AppDelegate.swift                                     | Swift           |          8 |          0 |          2 |         10 |
| e:\Dev\go_great\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON            |         68 |          0 |          1 |         69 |
| e:\Dev\go_great\macos\Runner\Base.lproj\MainMenu.xib                               | XML             |        343 |          0 |          1 |        344 |
| e:\Dev\go_great\macos\Runner\MainFlutterWindow.swift                               | Swift           |         12 |          0 |          4 |         16 |
| e:\Dev\go_great\macos\firebase_app_id_file.json                                    | JSON            |          7 |          0 |          0 |          7 |
| e:\Dev\go_great\pubspec.yaml                                                       | YAML            |         77 |         43 |         18 |        138 |
| e:\Dev\go_great\web\index.html                                                     | HTML            |         98 |         16 |         15 |        129 |
| e:\Dev\go_great\web\manifest.json                                                  | JSON            |         35 |          0 |          1 |         36 |
| e:\Dev\go_great\windows\flutter\generated_plugin_registrant.cc                     | C++             |         18 |          4 |          5 |         27 |
| e:\Dev\go_great\windows\flutter\generated_plugin_registrant.h                      | C++             |          5 |          5 |          6 |         16 |
| e:\Dev\go_great\windows\flutter\generated_plugins.cmake                            | CMake           |         23 |          0 |          6 |         29 |
| e:\Dev\go_great\windows\runner\flutter_window.cpp                                  | C++             |         49 |          7 |         16 |         72 |
| e:\Dev\go_great\windows\runner\flutter_window.h                                    | C++             |         20 |          5 |          9 |         34 |
| e:\Dev\go_great\windows\runner\main.cpp                                            | C++             |         30 |          4 |         10 |         44 |
| e:\Dev\go_great\windows\runner\resource.h                                          | C++             |          9 |          6 |          2 |         17 |
| e:\Dev\go_great\windows\runner\utils.cpp                                           | C++             |         54 |          2 |         10 |         66 |
| e:\Dev\go_great\windows\runner\utils.h                                             | C++             |          8 |          6 |          6 |         20 |
| e:\Dev\go_great\windows\runner\win32_window.cpp                                    | C++             |        210 |         24 |         55 |        289 |
| e:\Dev\go_great\windows\runner\win32_window.h                                      | C++             |         48 |         31 |         24 |        103 |
| Total                                                                              |                 |      6,910 |        371 |        643 |      7,924 |
+------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
