Date : 2024-12-16 20:39:19
Directory : e:\Dev\go_great
Total : 111 files,  9421 codes, 391 comments, 870 blanks, all 10682 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| e:\Dev\go_great\lib\profile_form.dart                                              | Dart            |        366 |          2 |         20 |        388 |
| e:\Dev\go_great\lib\project_detail.dart                                            | Dart            |        314 |          6 |          8 |        328 |
| e:\Dev\go_great\lib\project_list.dart                                              | Dart            |        110 |          1 |          7 |        118 |
| e:\Dev\go_great\lib\saved_list.dart                                                | Dart            |        128 |          9 |         18 |        155 |
| e:\Dev\go_great\lib\sign_up.dart                                                   | Dart            |        261 |          7 |         17 |        285 |
| e:\Dev\go_great\lib\soon.dart                                                      | Dart            |         29 |          0 |          2 |         31 |
| e:\Dev\go_great\lib\submission.dart                                                | Dart            |        659 |          1 |         33 |        693 |
| e:\Dev\go_great\lib\submit_temp.dart                                               | Dart            |         58 |          4 |          8 |         70 |
| e:\Dev\go_great\lib\talent_list.dart                                               | Dart            |        160 |          0 |          9 |        169 |
| e:\Dev\go_great\lib\user_preferences0.dart                                         | Dart            |        206 |          2 |         15 |        223 |
| e:\Dev\go_great\lib\user_preferences1.dart                                         | Dart            |        206 |          2 |         21 |        229 |
| e:\Dev\go_great\lib\user_preferences2.dart                                         | Dart            |        209 |          4 |         15 |        228 |
| e:\Dev\go_great\lib\user_preferences3.dart                                         | Dart            |        122 |          4 |         10 |        136 |
| e:\Dev\go_great\linux\CMakeLists.txt                                               | CMake           |        118 |          0 |         28 |        146 |
| e:\Dev\go_great\linux\flutter\CMakeLists.txt                                       | CMake           |         79 |          0 |         10 |         89 |
| e:\Dev\go_great\linux\flutter\generated_plugin_registrant.cc                       | C++             |          7 |          4 |          5 |         16 |
| e:\Dev\go_great\linux\flutter\generated_plugin_registrant.h                        | C++             |          5 |          5 |          6 |         16 |
| e:\Dev\go_great\linux\flutter\generated_plugins.cmake                              | CMake           |         19 |          0 |          6 |         25 |
| e:\Dev\go_great\linux\main.cc                                                      | C++             |          5 |          0 |          2 |          7 |
| e:\Dev\go_great\linux\my_application.cc                                            | C++             |         74 |         11 |         20 |        105 |
| e:\Dev\go_great\linux\my_application.h                                             | C++             |          7 |          7 |          5 |         19 |
| e:\Dev\go_great\macos\Flutter\GeneratedPluginRegistrant.swift                      | Swift           |         26 |          3 |          4 |         33 |
| e:\Dev\go_great\macos\RunnerTests\RunnerTests.swift                                | Swift           |          7 |          2 |          4 |         13 |
| e:\Dev\go_great\macos\Runner\AppDelegate.swift                                     | Swift           |          8 |          0 |          2 |         10 |
| e:\Dev\go_great\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON            |         68 |          0 |          1 |         69 |
| e:\Dev\go_great\macos\Runner\Base.lproj\MainMenu.xib                               | XML             |        343 |          0 |          1 |        344 |
| e:\Dev\go_great\macos\Runner\MainFlutterWindow.swift                               | Swift           |         12 |          0 |          4 |         16 |
| e:\Dev\go_great\macos\firebase_app_id_file.json                                    | JSON            |          7 |          0 |          0 |          7 |
| e:\Dev\go_great\pubspec.yaml                                                       | YAML            |         77 |         43 |         18 |        138 |
| e:\Dev\go_great\web\index.html                                                     | HTML            |         98 |         16 |         15 |        129 |
| e:\Dev\go_great\web\manifest.json                                                  | JSON            |         35 |          0 |          1 |         36 |
| e:\Dev\go_great\windows\CMakeLists.txt                                             | CMake           |         89 |          0 |         20 |        109 |
| e:\Dev\go_great\windows\flutter\CMakeLists.txt                                     | CMake           |         98 |          0 |         12 |        110 |
| e:\Dev\go_great\windows\flutter\generated_plugin_registrant.cc                     | C++             |         18 |          4 |          5 |         27 |
| e:\Dev\go_great\windows\flutter\generated_plugin_registrant.h                      | C++             |          5 |          5 |          6 |         16 |
| e:\Dev\go_great\windows\flutter\generated_plugins.cmake                            | CMake           |         23 |          0 |          6 |         29 |
| e:\Dev\go_great\windows\runner\CMakeLists.txt                                      | CMake           |         34 |          0 |          7 |         41 |
| e:\Dev\go_great\windows\runner\flutter_window.cpp                                  | C++             |         49 |          7 |         16 |         72 |
| e:\Dev\go_great\windows\runner\flutter_window.h                                    | C++             |         20 |          5 |          9 |         34 |
| e:\Dev\go_great\windows\runner\main.cpp                                            | C++             |         30 |          4 |         10 |         44 |
| e:\Dev\go_great\windows\runner\resource.h                                          | C++             |          9 |          6 |          2 |         17 |
| e:\Dev\go_great\windows\runner\utils.cpp                                           | C++             |         54 |          2 |         10 |         66 |
| e:\Dev\go_great\windows\runner\utils.h                                             | C++             |          8 |          6 |          6 |         20 |
| e:\Dev\go_great\windows\runner\win32_window.cpp                                    | C++             |        210 |         24 |         55 |        289 |
| e:\Dev\go_great\windows\runner\win32_window.h                                      | C++             |         48 |         31 |         24 |        103 |
| Total                                                                              |                 |      9,421 |        391 |        870 |     10,682 |
+------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
